"data-id","Công nghệ CPU","Số nhân","Số luồng","Tốc độ CPU","Tốc độ tối đa","RAM","Loại RAM","Tốc độ Bus RAM","Hỗ trợ RAM tối đa","Ổ cứng","Màn hình","Độ phân giải","Tần số quét","Độ phủ màu","Công nghệ màn hình","Card màn hình","Công nghệ âm thanh","Cổng giao tiếp","Kết nối không dây","Webcam","Đèn bàn phím","Kích thước","Chất liệu","Thông tin Pin","Hệ điều hành","Thời điểm ra mắt","Khe đọc thẻ nhớ","Tính năng khác","Tản nhiệt","Màn hình cảm ứng","NPU","Hiệu năng xử lý AI (TOPS)"
"329852","Intel Core 7 Raptor Lake - 150U","10","12","Hãng không công bố","Turbo Boost 5.40 GHz","16 GB","DDR5 2 khe (1 khe 8 GB + 1 khe 8 GB)","5200 MHz","16 GB","1 TB SSD M.2 PCIe","14""","Full HD+","60Hz","45% NTSC","Display with ComfortView Chống chói Anti Glare 250 nits WVA","Card tích hợp - Intel Graphics","Realtek Audio","HDMI 2 x USB 3.2 1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort 1.4) 1 x USB Type C (chỉ hỗ trợ Power Delivery) 1 x Headphone/microphone combo","Wi-Fi 6E (802.11ax) Bluetooth 5.3","Full HD Webcam","Đơn sắc - Màu trắng","Dài 314 mm - Rộng 226.15 mm - Dày 18.9 mm - 1.71 kg","Vỏ nhựa - chiếu nghỉ tay bằng kim loại","4-cell, 64 Wh","Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn","2024","SD","Màn hình gập 360 độ Bảo mật vân tay",,"Cảm ứng",,
"333094","Intel Core i7 Raptor Lake - 13650HX","14","20","2.6GHz","Turbo Boost 4.9 GHz","32 GB","DDR5 2 khe (1 khe 16 GB + 1 khe 16 GB)","4800 MHz","32 GB","1 TB SSD NVMe PCIe Gen 4","16""","Full HD+ (1920 x 1200)","165 Hz","100% sRGB","G-Sync Tấm nền IPS Chống chói Anti Glare 250 nits","Card rời - NVIDIA GeForce RTX 4050, 6 GB","Hi-Res Audio Công nghệ Smart AMP Dolby Atmos","LAN (RJ45) Jack tai nghe 3.5 mm 1 x USB 3.2 Gen 2 Type-C (hỗ trợ DisplayPort, Power delivery, G-SYNC) 2 x USB 3.2 HDMI 1 x Thunderbolt 4 (hỗ trợ DisplayPort)","Wi-Fi 6E (802.11ax) Bluetooth 5.3","HD webcam","Đèn chuyển màu RGB - 4 vùng","Dài 354 mm - Rộng 264 mm - Dày 30.4 mm - 2.5 kg","Vỏ nhựa - nắp lưng bằng kim loại","4-cell, 90Wh","Windows 11 Home SL","2024",,"MUX Switch NVIDIA Optimus",,,,
"329851","Intel Core 5 Raptor Lake - 120U","10","12","1.4GHz","Turbo Boost 5.0 GHz","16 GB","DDR5 2 khe (1 khe 8 GB + 1 khe 8 GB)","5200 MHz","16 GB","1 TB SSD M.2 PCIe","14""","Full HD+","60Hz","45% NTSC","Display with ComfortView 250 nits WVA","Card tích hợp - Intel Graphics","Realtek Audio","Jack tai nghe 3.5 mm 2 x USB 3.2 HDMI 1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort 1.4) 1 x USB Type-C (chỉ hỗ trợ Power Delivery)","Wi-Fi 6E (802.11ax) Bluetooth 5.3","Full HD Webcam","Đơn sắc - Màu trắng","Dài 314 mm - Rộng 226.15 mm - Dày 18.9 mm - 1.74 kg","Vỏ nhựa","4-cell, 54Wh","Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn",,"SD","Màn hình gập 360 độ",,"Cảm ứng",,
"330579","Intel Core Ultra 7 Lunar Lake - 258V","8","8","2.2GHz","Turbo Boost 4.8 GHz","32 GB","LPDDR5X (Onboard)","8533 MHz","Không hỗ trợ nâng cấp","1 TB SSD NVMe PCIe Gen 4","14""","2.8K (2880 x 1800) - OLED 16:10","120Hz","100% DCI-P3","Thời gian phản hồi 0.2 ms Chuẩn DisplayHDR True Black 500 Màn hình OLED 400 nits 500 nits (Khi bật HDR) 1.07 tỷ màu","Card tích hợp - Intel Arc Graphics","Công nghệ Smart AMP Audio by Harman/Kardon","Jack tai nghe 3.5 mm 1 x USB 3.2 HDMI 2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)","Wi-Fi 7 (802.11be) Bluetooth 5.4","Full HD Webcam Camera IR","Đơn sắc - Màu trắng","Dài 310.3 mm - Rộng 214.7 mm - Dày 12.9 mm - 1.2 kg","Vỏ kim loại - Nhôm","4-cell, 72Wh","Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn","2024",,"Mở khóa khuôn mặt",,,"Intel AI Boost","Lên đến 47 TOPS"
"315908","Intel Core i7 Raptor Lake - 1355U","10","12","1.7GHz","Turbo Boost 5.0 GHz","16 GB","DDR4 2 khe (1 khe 16 GB + 1 khe rời)","3200 MHz","32 GB","512 GB SSD NVMe PCIe","15.6""","Full HD (1920 x 1080)","60Hz","45% NTSC","Tấm nền IPS Chống chói Anti Glare 250 nits","Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi)","Realtek High Definition Audio","LAN (RJ45) Jack tai nghe 3.5 mm 2 x USB Type-A HDMI 2 x USB Type-C (hỗ trợ USB Power Delivery, DisplayPort 2.1)","Wi-Fi 6E (802.11ax) Bluetooth 5.3","HD webcam","Đơn sắc - Màu trắng","Dài 359.4 mm - Rộng 233.9 mm - Dày 19.9 mm - 1.79 kg","Vỏ kim loại","3-cell, 51Wh","Windows 11 Home SL","2023",,"Bảo mật vân tay",,,,
"327401","Intel Core i7 Raptor Lake - 13620H","10","16","2.4GHz","Turbo Boost 4.9 GHz","16 GB","DDR5 2 khe (1 khe 8 GB + 1 khe 8 GB)","5200 MHz","64 GB","512 GB SSD NVMe PCIe Gen 4.0","15.6""","Full HD (1920 x 1080)","144Hz","45% NTSC","Tấm nền IPS Chống chói Anti Glare 250 nits","Card rời - NVIDIA GeForce RTX 4060, 8 GB","2 x 2W Speaker","LAN (RJ45) Jack tai nghe 3.5 mm 2 x USB 3.2 HDMI 1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort)","Wi-Fi 6E (802.11ax) Bluetooth 5.3","HD webcam","Đèn chuyển màu RGB - 4 vùng","Dài 359.36 mm - Rộng 250.34 mm - Dày 22.9 mm - 1.98 kg","Vỏ nhựa - nắp lưng bằng kim loại","3-cell, 53.5Wh","Windows 11 Home SL","2024",,,"Cooler Boost",,,
"315892","AMD Ryzen 7 - 7735HS","8","16","3.2GHz","Turbo Boost 4.7 GHz","16 GB","DDR5 2 khe (1 khe 8 GB + 1 khe 8 GB)","4800 MHz","32 GB","512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng (nâng cấp tối đa 2 TB)","15.6""","Full HD (1920 x 1080)","144Hz","100% sRGB 75.35% Adobe RGB 72% NTSC","G-Sync Chống chói Anti Glare 250 nits","Card rời - NVIDIA GeForce RTX 4060, 8 GB","Hi-Res Audio Dolby Atmos","LAN (RJ45) Jack tai nghe 3.5 mm 1 x USB 3.2 Gen 2 Type-C (hỗ trợ DisplayPort, Power delivery, G-SYNC) 2 x USB 3.2 HDMI 1 x USB Type-C USB 4 (hỗ trợ DisplayPort)","Wi-Fi 6 (802.11ax) Bluetooth 5.3","HD webcam","Đèn chuyển màu RGB - 1 vùng","Dài 354 mm - Rộng 251 mm - Dày 22.4 ~ 24.9 mm - 2.2 kg","Vỏ nhựa - nắp lưng bằng kim loại","4-cell, 90Wh","Windows 11 Home SL","2023",,"MUX Switch NVIDIA Optimus Độ bền chuẩn quân đội MIL STD 810H","Quạt Arc Flow 84 cánh 5 ống đồng",,,
"321059","AMD Ryzen 5 - 7535HS","6","12","3.3GHz","Turbo Boost 4.55 GHz","16 GB","DDR5 2 khe (1 khe 8 GB + 1 khe 8 GB)","4800 MHz","32 GB","512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng (nâng cấp tối đa 2 TB)","15.6""","Full HD (1920 x 1080)","144Hz","100% sRGB 75.35% Adobe RGB 72% NTSC","G-Sync Tấm nền IPS Chống chói Anti Glare 250 nits","Card rời - NVIDIA GeForce RTX 4050, 6 GB","Hi-Res Audio Dolby Atmos","LAN (RJ45) Jack tai nghe 3.5 mm 1 x USB 3.2 Gen 2 Type-C (hỗ trợ DisplayPort, Power delivery, G-SYNC) 2 x USB 3.2 HDMI 1 x USB Type-C USB 4 (hỗ trợ DisplayPort)","Wi-Fi 6 (802.11ax) Bluetooth 5.3","HD webcam","Đèn chuyển màu RGB - 1 vùng","Dài 354 mm - Rộng 251 mm - Dày 24.9 mm - 2.2 kg","Vỏ nhựa - nắp lưng bằng kim loại","4-cell, 90Wh","Windows 11 Home SL","2023",,"MUX Switch NVIDIA Optimus Độ bền chuẩn quân đội MIL STD 810H",,,,
"335010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"331644","Apple M3 - Hãng không công bố","8","Hãng không công bố","100GB/s","Hãng không công bố","16 GB","Hãng không công bố","Hãng không công bố","Không hỗ trợ nâng cấp","256 GB SSD","13.6""","Liquid Retina (2560 x 1664)","Hãng không công bố",,"Wide color (P3) 500 nits brightness True Tone Technology 1 tỷ màu","Card tích hợp - 8 nhân GPU","Spatial Audio 3 microphones 4 Loa Dolby Atmos","MagSafe 3 Jack tai nghe 3.5 mm 2 x Thunderbolt 3 / USB 4 (lên đến 40 Gb/s)","Wi-Fi 6E (802.11ax) Bluetooth 5.3","Full HD Webcam","Đơn sắc - Màu trắng","Dài 304.1 mm - Rộng 215 mm - Dày 11.3 mm - 1.24 kg","Vỏ nhôm tái chế 100%","Lên đến 18 giờ","macOS Sonoma","2024",,"Bảo mật vân tay",,,,
