"data-index","data-id","data-issetup","data-maingroup","data-subgroup","data-type","data-vehicle","data-productcode","data-price-root","data-ordertypeid","data-pos","sourceURL","data-s","data-site","data-pro","data-cache","data-sv","data-name","data-id","data-price","data-brand","data-cate","data-box","data-pos","data-color","data-productstatus","data-premium","data-promotiontype","imageURL","percent","gift","rating","unit-sold"
"11","333105","0","22","42","1","1","0220042002969","20690000.0","2","11","/laptop/dell-inspiron-15-3520-i7-n5i7125w1","Nomal","1","3","False","webtgdd-26-86","Laptop Dell Inspiron 15 3520 i7 1255U/16GB/512GB/120Hz/OfficeHS/KYHD/Win11 (N5I7125W1)","333105","19990000.0","Dell","Laptop","BoxCate","0","Bạc","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333105/dell-inspiron-15-3520-i7-n5i7125w1-thumb-638760098504371682-600x600.jpg","0%","Quà 150.000₫","5","• Đã bán 363"
"12","326049","0","22","42","1","1","0220042002702","14590000.0","2","12","/laptop/hp-245-g10-r5-a20tdpt","Nomal","1","3","True","webtgdd-26-86","Laptop HP 245 G10 R5 7530U/8GB/512GB/Win11 (A20TDPT)","326049","12690000.0","HP","Laptop","BoxCate","0","Bạc","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/326049/hp-245-g10-r5-a20tdpt-170225-110347-587-600x600.jpg","-13%","Quà 2.240.000₫","4.9","• Đã bán 3,9k"
"13","318163","0","22","42","1","1","0220042002467","24590000.0","2","13","/laptop/hp-victus-15-fa1139tx-i5-8y6w3pa","Nomal","1","3","True","webtgdd-26-86","Laptop HP Gaming VICTUS 15 fa1139TX i5 12450H/16GB/512GB/4GB RTX2050/144Hz/Win11 (8Y6W3PA)","318163","17690000.0","HP","Laptop","BoxCate","0","Đen","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/318163/hp-victus-15-fa1139tx-i5-8y6w3pa-170225-104358-047-600x600.jpg","-28%","Quà 2.240.000₫","4.9","• Đã bán 2,8k"
"14","328237","0","22","42","1","1","0220042002793","19490000.0","2","14","/laptop/asus-vivobook-k3605zf-i5-rp745w","Nomal","1","3","True","webtgdd-26-86","Laptop Asus Gaming Vivobook K3605ZF i5 12500H/16GB/512GB/4GB RTX2050/Win11 (RP745W)","328237","17690000.0","Asus","Laptop","BoxCate","0","Đen","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/328237/asus-vivobook-k3605zf-i5-rp745w-170225-112521-757-600x600.jpg","-9%","Quà 2.240.000₫","4.9","• Đã bán 2,6k"
"15","327050","0","22","42","1","1","0220042002742","25490000.0","154","15","/laptop/lenovo-loq-15iax9-i5-83gs00d9vn","TwoPriceDetail","1","3","True","webtgdd-26-86","Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/24GB/512GB/6GB RTX3050/144Hz/Win11 (83GS00D9VN)","327050","23290000.0","Lenovo","Laptop","BoxCate","0","Xám","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/327050/lenovo-loq-15iax9-i5-83gs00d9vn-thumb-638754869781903463-600x600.jpg","-8%","Quà 2.240.000₫","5","• Đã bán 2,3k"
"16","326637","0","22","42","1","1","0220042002712","14990000.0","2","16","/laptop/acer-aspire-lite-14-51m-59bn-i5-nxktxsv001","Nomal","1","3","True","webtgdd-26-86","Laptop Acer Aspire Lite 14 51M 59BN i5 1235U/16GB/512GB/Win11 (NX.KTXSV.001)","326637","13790000.0","Acer","Laptop","BoxCate","0","Bạc","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/326637/acer-aspire-lite-14-51m-59bn-i5-nxktxsv001-thumb-638754957139160133-600x600.jpg","-8%","Quà 2.090.000₫","4.9","• Đã bán 2,7k"
"17","311016","0","22","42","1","1","0220042002348","14990000.0","2","17","/laptop/msi-modern-15-b12mo-i5-628vn","Nomal","1","3","True","webtgdd-26-86","Laptop MSI Modern 15 B12MO i5 1235U/16GB/512GB/Win11 (628VN)","311016","12890000.0","MSI","Laptop","BoxCate","0","Đen","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/311016/msi-modern-15-b12mo-i5-628vn-thumb-638754848094417470-600x600.jpg","-14%","Quà 2.240.000₫","4.9","• Đã bán 2,1k"
"18","333427","0","22","42","1","1","0220042002983","22490000.0","2","18","/laptop/acer-nitro-v-15-anv15-41-r1jy-r5-nhqpfsv001","Nomal","1","3","True","webtgdd-26-86","Laptop Acer Nitro V 15 ANV15 41 R1JY R5 6600H/16GB/512GB/6GB RTX3050/165Hz/Win11 (NH.QPFSV.001)","333427","20890000.0","Acer","Laptop","BoxCate","0","Đen","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333427/acer-nitro-v-15-anv15-41-r1jy-r5-nhqpfsv001-thumb-638760100059925740-600x600.jpg","-7%","Quà 2.990.000₫","5","• Đã bán 135"
"19","321467","0","22","42","1","1","0220042002558","25490000.0","2","19","/laptop/hp-victus-15-fb1022ax-r5-94f19pa","Nomal","1","3","True","webtgdd-26-86","Laptop HP Gaming VICTUS 15 fb1022AX R5 7535HS/16GB/512GB/4GB RTX2050/144Hz/Win11 (94F19PA)","321467","16690000.0","HP","Laptop","BoxCate","0","Đen","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/321467/hp-victus-15-fb1022ax-r5-94f19pa-170225-104741-220-600x600.jpg","-34%","Quà 2.240.000₫","5","• Đã bán 2,3k"
"20","325242","0","22","42","1","1","0220042002663","16990000.0","2","20","/laptop/dell-inspiron-15-3520-i5-n5i5052w1","Nomal","1","3","True","webtgdd-26-86","Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (N5I5052W1)","325242","16490000.0","Dell","Laptop","BoxCate","0","Bạc","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/325242/dell-inspiron-15-3520-i5-n5i5052w1-thumb-638754947183265925-600x600.jpg","0%","Quà 150.000₫","5","• Đã bán 8,1k"
"1","326124","0","22","42","1","1","0220042002700","18990000.0","2","1","/laptop/msi-thin-15-b12ucx-i5-2046vn","Nomal","1","3","True","webtgdd-26-86","Laptop MSI Gaming Thin 15 B12UCX i5 12450H/16GB/512GB/4GB RTX2050/144Hz/Balo/Win11 (2046VN)","326124","16190000.0","MSI","Laptop","BoxCate","0","Xám","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/326124/msi-thin-15-b12ucx-i5-2046vn-140225-102530-055-600x600.jpg","-14%","Quà 2.240.000₫","5","• Đã bán 1,2k"
"2","325691","0","22","42","1","1","0220042002694","21990000.0","2","2","/laptop/hp-15-fd0015tu-i7-a19c5pa","Nomal","1","3","True","webtgdd-26-86","Laptop HP 15 fd0015TU i7 1355U/16GB/512GB/Win11 (A19C5PA)","325691","20190000.0","HP","Laptop","BoxCate","0","Vàng","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/325691/hp-15-fd0015tu-i7-a19c5pa-170225-110311-023-600x600.jpg","-8%","Quà 2.240.000₫","4.9","• Đã bán 2,3k"
"3","328235","0","22","42","1","1","0220042002791","22490000.0","154","3","/laptop/asus-gaming-tuf-f15-fx507zc4-i5-hn330w","TwoPriceDetail","1","3","True","webtgdd-26-86","Laptop Asus TUF Gaming F15 FX507ZC4 i5 12500H/16GB/512GB/4GB RTX3050/144Hz/Win11 (HN330W)","328235","20690000.0","Asus","Laptop","BoxCate","0","Xám","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/328235/asus-gaming-tuf-f15-fx507zc4-i5-hn330w-170225-112440-295-600x600.jpg","-8%","Quà 2.240.000₫","4.9","• Đã bán 1,3k"
"4","328238","0","22","42","1","1","0220042002794","21990000.0","2","4","/laptop/asus-vivobook-k3605zc-i5-rp629w?utm_flashsale=1","TwoPriceDetailCMS","1","3","True","webtgdd-26-86","Laptop Asus Gaming Vivobook K3605ZC i5 12500H/16GB/512GB/4GB RTX3050/Win11 (RP629W)","328238","19690000.0","Asus","Laptop","BoxCate","0","Đen","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/328238/asus-vivobook-k3605zc-i5-rp629w-170225-112605-145-600x600.jpg","-10%","Quà 2.240.000₫","4.9","• Đã bán 1k"
"5","322082","0","22","42","1","1","0220042002565","18490000.0","2","5","/laptop/lenovo-ideapad-5-14iah8-i5-83bf003wvn","Nomal","1","3","True","webtgdd-26-86","Laptop Lenovo Ideapad Slim 5 14IAH8 i5 12450H/16GB/1TB/Win11 (83BF003WVN)","322082","17690000.0","Lenovo","Laptop","BoxCate","0","Xám","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/322082/lenovo-ideapad-5-14iah8-i5-83bf003wvn-thumb-638754851969986179-600x600.jpg","0%","Quà 2.240.000₫","4.9","• Đã bán 2,7k"
"6","330169","0","22","42","1","1","0220042002838","37990000.0","2","6","/laptop/acer-predator-helios-neo-phn16-71-53m7-i5-nhqlusv005","Nomal","1","3","True","webtgdd-26-86","Laptop Acer Predator Helios Neo PHN16 71 53M7 i5 13500HX/16GB/512GB/8GB RTX4060/165Hz/Win11 (NH.QLUSV.005)","330169","27390000.0","Acer","Laptop","BoxCate","0","Đen","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/330169/acer-predator-helios-neo-phn16-71-53m7-i5-nhqlusv005-thumb-638760096056846296-600x600.jpg","-27%","Quà 2.990.000₫","4.9","• Đã bán 670"
"7","327977","0","22","42","1","1","0220042002778","16990000.0","2","7","/laptop/asus-vivobook-15-x1504za-i5-nj1546w","Nomal","1","3","True","webtgdd-26-86","Laptop Asus Vivobook 15 X1504ZA i5 1235U/16GB/512GB/Win11 (NJ1546W)","327977","14490000.0","Asus","Laptop","BoxCate","0","Xanh Dương","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/327977/asus-vivobook-15-x1504za-i5-nj1546w-170225-112356-443-600x600.jpg","-14%","Quà 2.240.000₫","4.9","• Đã bán 1,2k"
"8","323325","0","22","42","1","1","0220042002636","19590000.0","2","8","/laptop/hp-240-g10-i5-9h2e4pt","Nomal","1","3","True","webtgdd-26-86","Laptop HP 240 G10 i5 1335U/16GB/512GB/Win11 (9H2E4PT)","323325","17590000.0","HP","Laptop","BoxCate","0","Bạc","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/323325/hp-240-g10-i5-9h2e4pt-170225-105517-942-600x600.jpg","-10%","Quà 2.240.000₫","4.9","• Đã bán 1,3k"
"9","326830","0","22","42","1","1","0220042002733","24990000.0","2","9","/laptop/hp-pavilion-x360-14-ek2024tu-core-5-9z2v6pa","Nomal","1","3","True","webtgdd-26-86","Laptop HP Pavilion X360 14 ek2024TU Core 5 120U/16GB/512GB/Touch/Pen/Win11 (9Z2V6PA)","326830","23990000.0","HP","Laptop","BoxCate","0","Vàng","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/326830/hp-pavilion-x360-14-ek2024tu-core-5-9z2v6pa-170225-110535-640-600x600.jpg","0%","Quà 2.240.000₫","5","• Đã bán 858"
"10","327980","0","22","42","1","1","0220042002780","18990000.0","2","10","/laptop/dell-latitude-3440-i5-l3440i51235u16g512g","Nomal","1","3","True","webtgdd-26-86","Laptop Dell Latitude 3440 i5 1235U/16GB/512GB/Win11 (L3440-I51235U-16G512G)","327980","16990000.0","Dell","Laptop","BoxCate","0","Đen","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/327980/dell-latitude-3440-i5-l3440i51235u16g512g-thumb-638754978664212690-600x600.jpg","-10%","Quà 2.240.000₫","4.9","• Đã bán 1,8k"
"11","326861","0","22","42","1","1","0220042002740","22990000.0","2","11","/laptop/msi-gf63-thin-12ve-i5-460vn","Nomal","1","3","True","webtgdd-26-86","Laptop MSI Gaming GF63 Thin 12VE i5 12450H/16GB/512GB/6GB RTX4050/144Hz/Win11 (460VN)","326861","19690000.0","MSI","Laptop","BoxCate","0","Đen","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/326861/msi-gf63-thin-12ve-i5-460vn-thumb-638754869517722845-600x600.jpg","-14%","Quà 2.240.000₫","4.9","• Đã bán 2k"
"12","334446","0","22","42","1","1","0220042002996","20490000.0","2","12","/laptop/lenovo-ideapad-slim-3-15irh10-i7-83k1000fvn","Nomal","1","3","True","webtgdd-26-86","Laptop Lenovo IdeaPad Slim 3 15IRH10 i7 13620H/24GB/512GB/Win11 (83K1000FVN)","334446","20490000.0","Lenovo","Laptop","BoxCate","0","Xám","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334446/lenovo-ideapad-slim-3-15irh10-i7-83k1000fvn-638775476922755568-600x600.jpg","0%","Quà 2.240.000₫","5","• Đã bán 6"
